time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1691750427.10760689,0.03098758,0.02276825,-nan,7150.00000000,0.03098758,0.000000,0.000000
1691750427.30502224,0.02814892,0.01587641,-nan,14324.00000000,0.02531026,0.000000,0.000000
1691750427.50385094,0.03946358,0.01649756,0.00000358,19965.00000000,0.06209288,0.000000,0.000000
1691750427.70119047,0.04477893,0.02153418,0.00000347,23874.00000000,0.06072498,0.000000,0.000000
1691750427.89863086,0.04762446,0.01804292,0.00000384,29577.00000000,0.05900658,0.000000,0.000000
1691750428.09744668,0.05183647,0.02495611,0.00000465,34633.00000000,0.07289652,0.000000,0.000000
1691750428.29617667,0.05473000,0.02147126,0.00000512,40455.00000000,0.07209119,0.000000,0.000000
1691750428.49360323,0.05666775,0.02562186,0.00000493,46466.00000000,0.07023199,0.000000,0.000000
1691750428.69096804,0.05848763,0.02515144,0.00000481,52250.00000000,0.07304667,0.000000,0.000000
1691750428.88979506,0.05999065,0.02723167,0.00000447,58089.00000000,0.07351779,0.000000,0.000000
1691750429.08720303,0.06167024,0.03787694,0.00000435,64043.00000000,0.07846613,0.000000,0.000000
1691750429.28597093,0.06400321,0.04480560,0.00000423,69803.00000000,0.08966596,0.000000,0.000000
1691750429.48472095,0.06428265,0.02506294,0.00000432,75651.00000000,0.06763586,0.000000,0.000000
1691750429.68343019,0.06521912,0.02588970,0.00000477,81224.00000000,0.07739329,0.000000,0.000000
1691750429.88096142,0.06555878,0.02019073,0.00000431,86082.00000000,0.07031400,0.000000,0.000000
1691750430.07703996,0.06526151,0.02237316,0.00000413,90225.00000000,0.06080240,0.000000,0.000000
1691750430.27584529,0.06525889,0.01848978,0.00000445,93977.00000000,0.06521699,0.000000,0.000000
1691750430.47450495,0.06606757,0.02920348,0.00000462,97804.00000000,0.07981510,0.000000,0.000000
1691750430.67197704,0.06664237,0.02616278,0.00000514,102642.00000000,0.07698888,0.000000,0.000000
1691750430.87073922,0.06701902,0.03005510,0.00000449,107900.00000000,0.07417523,0.000000,0.000000
1691750431.06811929,0.06730618,0.02975130,0.00000581,113381.00000000,0.07304941,0.000000,0.000000
1691750431.26686239,0.06804362,0.03448450,0.00000481,119279.00000000,0.08352983,0.000000,0.000000
1691750431.46292019,0.06853278,0.03242153,0.00000440,124544.00000000,0.07929437,0.000000,0.000000
1691750431.66035843,0.06922710,0.03449844,0.00000573,130224.00000000,0.08519638,0.000000,0.000000
1691750431.85923839,0.06958182,0.03499994,0.00000497,136045.00000000,0.07809510,0.000000,0.000000
1691750432.05790210,0.06965868,0.03154203,0.00000463,141666.00000000,0.07158026,0.000000,0.000000
1691750432.25533819,0.07063228,0.04393721,0.00000549,147764.00000000,0.09594582,0.000000,0.000000
1691750432.45416880,0.07086210,0.03874810,0.00000449,153415.00000000,0.07706738,0.000000,0.000000
1691750432.65149665,0.07111608,0.02486565,0.00000448,159536.00000000,0.07822732,0.000000,0.000000
1691750432.84893608,0.07122921,0.02813888,0.00000470,164630.00000000,0.07451014,0.000000,0.000000
1691750433.04765654,0.07174039,0.03386447,0.00000530,170276.00000000,0.08707567,0.000000,0.000000
1691750433.24512362,0.07226915,0.03708181,0.00000525,175787.00000000,0.08866073,0.000000,0.000000
1691750433.44250345,0.07296354,0.04630527,0.00000480,181696.00000000,0.09518411,0.000000,0.000000
1691750433.64127517,0.07322086,0.03678764,0.00000490,187358.00000000,0.08171256,0.000000,0.000000
1691750433.84000707,0.07360139,0.03494184,0.00000505,193450.00000000,0.08653920,0.000000,0.000000
1691750434.03743768,0.07397621,0.03445137,0.00000461,199570.00000000,0.08709481,0.000000,0.000000
1691750434.23495984,0.07435364,0.03692765,0.00000514,204878.00000000,0.08794139,0.000000,0.000000
1691750434.43239117,0.07487361,0.03904050,0.00000508,210929.00000000,0.09411256,0.000000,0.000000
1691750434.63119507,0.07512002,0.03587679,0.00000482,216688.00000000,0.08448357,0.000000,0.000000
1691750434.82858348,0.07577425,0.05032834,0.00000470,222795.00000000,0.10128902,0.000000,0.000000
1691750435.02722859,0.07622692,0.04435136,0.00000518,228214.00000000,0.09433366,0.000000,0.000000
1691750435.22469187,0.07629316,0.03015832,0.00000606,233772.00000000,0.07900930,0.000000,0.000000
1691750435.42206883,0.07678564,0.04220104,0.00000529,239845.00000000,0.09746956,0.000000,0.000000
1691750435.62082028,0.07713171,0.03886900,0.00000501,245425.00000000,0.09201292,0.000000,0.000000
1691750435.81832147,0.07715344,0.03272549,0.00000447,251186.00000000,0.07810921,0.000000,0.000000
1691750436.01709437,0.07725531,0.03249420,0.00000480,256616.00000000,0.08183962,0.000000,0.000000
1691750436.21451426,0.07713895,0.02700168,0.00000486,261416.00000000,0.07178664,0.000000,0.000000
1691750436.41315651,0.07723621,0.02900634,0.00000481,265853.00000000,0.08180701,0.000000,0.000000
1691750436.61062598,0.07734535,0.02951688,0.00000550,270246.00000000,0.08258438,0.000000,0.000000
1691750436.80668259,0.07722468,0.02579178,0.00000492,275377.00000000,0.07131199,0.000000,0.000000
1691750437.00543237,0.07711089,0.02688504,0.00000566,280086.00000000,0.07142108,0.000000,0.000000
1691750437.20284796,0.07702199,0.02879233,0.00000470,284485.00000000,0.07248802,0.000000,0.000000
1691750437.40027857,0.07699991,0.02985949,0.00000514,288512.00000000,0.07585175,0.000000,0.000000
1691750437.59903598,0.07685346,0.02584504,0.00000473,293194.00000000,0.06909202,0.000000,0.000000
1691750437.79650664,0.07689971,0.03655256,0.00000501,298325.00000000,0.07939707,0.000000,0.000000
1691750437.99388647,0.07706304,0.03932845,0.00000581,303846.00000000,0.08604583,0.000000,0.000000
1691750438.19125962,0.07707367,0.02732232,0.00000550,308862.00000000,0.07766907,0.000000,0.000000
1691750438.38885283,0.07693484,0.02174428,0.00000530,312327.00000000,0.06902139,0.000000,0.000000
1691750438.58761668,0.07673960,0.01975440,0.00000541,314890.00000000,0.06541598,0.000000,0.000000
1691750438.78486300,0.07679352,0.02744040,0.00000607,318051.00000000,0.07997464,0.000000,0.000000
1691750438.98229551,0.07677488,0.02460832,0.00000554,322076.00000000,0.07565666,0.000000,0.000000
1691750439.17973232,0.07667994,0.02728075,0.00000511,326431.00000000,0.07088828,0.000000,0.000000
1691750439.37849927,0.07649327,0.02274077,0.00000524,330443.00000000,0.06491976,0.000000,0.000000
1691750439.57592678,0.07637073,0.02197824,0.00000525,333195.00000000,0.06865104,0.000000,0.000000
1691750439.77463698,0.07630282,0.02518317,0.00000506,337092.00000000,0.07195664,0.000000,0.000000
1691750439.97205830,0.07617085,0.02220944,0.00000525,340034.00000000,0.06759287,0.000000,0.000000
1691750440.16953182,0.07600843,0.02114155,0.00000555,342462.00000000,0.06528822,0.000000,0.000000
1691750440.36689854,0.07579853,0.01936778,0.00000467,345378.00000000,0.06173555,0.000000,0.000000
1691750440.56573367,0.07576777,0.02676996,0.00000562,347602.00000000,0.07367617,0.000000,0.000000
1691750440.76307034,0.07568607,0.02320939,0.00000599,350038.00000000,0.07004876,0.000000,0.000000
1691750440.96053028,0.07575188,0.02368321,0.00000682,352790.00000000,0.08035850,0.000000,0.000000
1691750441.15924644,0.07588252,0.03161820,0.00000710,356673.00000000,0.08515818,0.000000,0.000000
1691750441.35533404,0.07599969,0.03436863,0.00000652,361215.00000000,0.08443555,0.000000,0.000000
1691750441.55271626,0.07599458,0.02381233,0.00000621,365765.00000000,0.07562199,0.000000,0.000000
1691750441.75012898,0.07594809,0.02455706,0.00000608,369853.00000000,0.07250779,0.000000,0.000000
1691750441.94892049,0.07580259,0.02434148,0.00000567,373424.00000000,0.06488955,0.000000,0.000000
1691750442.14630795,0.07578231,0.02503625,0.00000572,377121.00000000,0.07424106,0.000000,0.000000
1691750442.34374499,0.07569654,0.02192081,0.00000557,380071.00000000,0.06909273,0.000000,0.000000
1691750442.54112625,0.07555688,0.02184679,0.00000551,382853.00000000,0.06466317,0.000000,0.000000
1691750442.73859358,0.07534726,0.01981432,0.00000479,385362.00000000,0.05878740,0.000000,0.000000
1691750442.93734121,0.07531529,0.02797800,0.00000503,387646.00000000,0.07275750,0.000000,0.000000
1691750443.13473630,0.07516314,0.02307588,0.00000516,390413.00000000,0.06283867,0.000000,0.000000
1691750443.33214641,0.07514998,0.02474895,0.00000554,393072.00000000,0.07407117,0.000000,0.000000
1691750443.52955222,0.07509858,0.02431317,0.00000616,394963.00000000,0.07083216,0.000000,0.000000
1691750443.72691894,0.07501348,0.02029912,0.00000584,396922.00000000,0.06786550,0.000000,0.000000
1691750443.92574215,0.07486838,0.01923726,0.00000560,398045.00000000,0.06253466,0.000000,0.000000
1691750444.12310386,0.07484310,0.02750895,0.00000575,399091.00000000,0.07266938,0.000000,0.000000
1691750444.32055759,0.07476857,0.01872828,0.00000563,401080.00000000,0.06828395,0.000000,0.000000
1691750444.51799083,0.07480452,0.02270926,0.00000626,403043.00000000,0.07796839,0.000000,0.000000
1691750444.71542406,0.07473867,0.01978156,0.00000600,405629.00000000,0.06887763,0.000000,0.000000
1691750444.91417599,0.07475304,0.02337404,0.00000616,407508.00000000,0.07604711,0.000000,0.000000
1691750445.11152887,0.07469287,0.02189093,0.00000597,411474.00000000,0.06921686,0.000000,0.000000
1691750445.30900431,0.07473227,0.02468735,0.00000614,414531.00000000,0.07835676,0.000000,0.000000
1691750445.50768042,0.07470511,0.02349308,0.00000550,417434.00000000,0.07217958,0.000000,0.000000
1691750445.70515823,0.07464782,0.02309463,0.00000576,420027.00000000,0.06926276,0.000000,0.000000
1691750445.90252972,0.07463486,0.02802934,0.00000544,423137.00000000,0.07340381,0.000000,0.000000
1691750446.09995842,0.07460069,0.02358331,0.00000537,425695.00000000,0.07131990,0.000000,0.000000
1691750446.29741931,0.07463877,0.02498462,0.00000596,428865.00000000,0.07833233,0.000000,0.000000
1691750446.49612975,0.07455369,0.02660046,0.00000522,432382.00000000,0.06621622,0.000000,0.000000
1691750446.69350696,0.07451836,0.02248045,0.00000559,435713.00000000,0.07102051,0.000000,0.000000
1691750446.89224958,0.07456073,0.02624773,0.00000635,439564.00000000,0.07879765,0.000000,0.000000
1691750447.08969617,0.07463633,0.03077028,0.00000586,443858.00000000,0.08227258,0.000000,0.000000
1691750447.28715134,0.07459740,0.02526390,0.00000557,447530.00000000,0.07062663,0.000000,0.000000
1691750447.48445415,0.07468316,0.02972209,0.00000610,450624.00000000,0.08351623,0.000000,0.000000
1691750447.68318367,0.07477036,0.03677917,0.00000560,454491.00000000,0.08383911,0.000000,0.000000
1691750447.88066864,0.07478499,0.03083994,0.00000538,458321.00000000,0.07632054,0.000000,0.000000
1691750448.07802606,0.07473938,0.02543814,0.00000556,461763.00000000,0.06990505,0.000000,0.000000
1691750448.27549052,0.07470846,0.02355242,0.00000575,464791.00000000,0.07139994,0.000000,0.000000
1691750448.47289610,0.07465054,0.02430640,0.00000561,467376.00000000,0.06839560,0.000000,0.000000
1691750448.67158246,0.07470937,0.03184780,0.00000577,469841.00000000,0.08112200,0.000000,0.000000
1691750448.86905813,0.07475017,0.02851678,0.00000602,471697.00000000,0.07923746,0.000000,0.000000
1691750449.06643224,0.07480261,0.03194930,0.00000555,473903.00000000,0.08062417,0.000000,0.000000
1691750449.26384330,0.07492073,0.03490164,0.00000607,476154.00000000,0.08814948,0.000000,0.000000
1691750449.46124458,0.07486315,0.02494345,0.00000559,479508.00000000,0.06835645,0.000000,0.000000
1691750449.66003990,0.07495659,0.03594753,0.00000553,482952.00000000,0.08560898,0.000000,0.000000
1691750449.85742855,0.07493841,0.02353889,0.00000620,485907.00000000,0.07284784,0.000000,0.000000
1691750450.05615115,0.07487769,0.02336118,0.00000533,488801.00000000,0.06783448,0.000000,0.000000
1691750450.25366616,0.07491157,0.02369460,0.00000605,491197.00000000,0.07887513,0.000000,0.000000
1691750450.45102715,0.07487087,0.02267512,0.00000522,493393.00000000,0.07006821,0.000000,0.000000
1691750450.64836860,0.07490218,0.02221262,0.00000636,495488.00000000,0.07862775,0.000000,0.000000
1691750450.84710431,0.07487451,0.02140821,0.00000574,497090.00000000,0.07155430,0.000000,0.000000
1691750451.04457259,0.07482911,0.02163032,0.00000557,499190.00000000,0.06933572,0.000000,0.000000
1691750451.24191046,0.07477670,0.01988824,0.00000535,501020.00000000,0.06838328,0.000000,0.000000
1691750451.43940926,0.07472896,0.02358718,0.00000535,502732.00000000,0.06885610,0.000000,0.000000
1691750451.63682652,0.07472374,0.02377539,0.00000544,504547.00000000,0.07407731,0.000000,0.000000
1691750451.83556604,0.07466483,0.02038484,0.00000561,505503.00000000,0.06730121,0.000000,0.000000
1691750452.03295970,0.07462882,0.02091909,0.00000567,507044.00000000,0.07009054,0.000000,0.000000
1691750452.23035455,0.07453750,0.02018419,0.00000563,508702.00000000,0.06293991,0.000000,0.000000
1691750452.42775106,0.07444262,0.01893797,0.00000543,509818.00000000,0.06229895,0.000000,0.000000
1691750452.62511325,0.07442771,0.02620493,0.00000564,511233.00000000,0.07250390,0.000000,0.000000
1691750452.82387972,0.07436417,0.02228407,0.00000562,514196.00000000,0.06610414,0.000000,0.000000
1691750453.02126002,0.07435695,0.02583120,0.00000569,515926.00000000,0.07341162,0.000000,0.000000
1691750453.21868706,0.07432641,0.02338816,0.00000626,518803.00000000,0.07029492,0.000000,0.000000
1691750453.41608810,0.07426279,0.02056106,0.00000592,521146.00000000,0.06580026,0.000000,0.000000
1691750453.61485505,0.07425282,0.02228290,0.00000614,523280.00000000,0.07291801,0.000000,0.000000
1691750453.81227112,0.07425691,0.02228360,0.00000644,525868.00000000,0.07480890,0.000000,0.000000
1691750454.00962472,0.07424142,0.02105379,0.00000619,527783.00000000,0.07213448,0.000000,0.000000
1691750454.20711756,0.07425787,0.02787319,0.00000630,529595.00000000,0.07651125,0.000000,0.000000
1691750454.40448332,0.07433581,0.03255388,0.00000630,531654.00000000,0.08509207,0.000000,0.000000
1691750454.60189652,0.07437052,0.02641419,0.00000621,534554.00000000,0.07919463,0.000000,0.000000
1691750454.80068684,0.07448712,0.03516863,0.00000616,537957.00000000,0.09081156,0.000000,0.000000
1691750454.99807453,0.07450415,0.02595940,0.00000629,541232.00000000,0.07690487,0.000000,0.000000
1691750455.19550824,0.07451273,0.02623559,0.00000606,543734.00000000,0.07573136,0.000000,0.000000
1691750455.39290071,0.07461299,0.03760423,0.00000605,546501.00000000,0.08895074,0.000000,0.000000
1691750455.59035087,0.07458718,0.02374704,0.00000567,548437.00000000,0.07086934,0.000000,0.000000
1691750455.78904772,0.07457803,0.02271211,0.00000622,551293.00000000,0.07325145,0.000000,0.000000
1691750455.98648572,0.07451018,0.02273854,0.00000524,553682.00000000,0.06460442,0.000000,0.000000
1691750456.18382215,0.07453018,0.02542499,0.00000648,555634.00000000,0.07747061,0.000000,0.000000
1691750456.38262153,0.07460968,0.03512668,0.00000619,557983.00000000,0.08637541,0.000000,0.000000
1691750456.57864237,0.07465500,0.03285149,0.00000580,561551.00000000,0.08140805,0.000000,0.000000
1691750456.77737236,0.07465827,0.02615142,0.00000578,565275.00000000,0.07514865,0.000000,0.000000
1691750456.97483516,0.07467286,0.02620311,0.00000652,568570.00000000,0.07687524,0.000000,0.000000
1691750457.17216682,0.07461832,0.02343252,0.00000544,571262.00000000,0.06632817,0.000000,0.000000
1691750457.37094092,0.07457739,0.02362818,0.00000512,573585.00000000,0.06831501,0.000000,0.000000
